category,segment,setups,trades,wins,losses,win_rate,profit_factor,expectancy_R,exp_per_setup,avg_MAE,avg_MFE
pd_location,inside_value,13,1,0,1,0.0%,0.00,-1.000,-0.077,-1.000,2.259
pd_location,below_VAL,9,3,0,3,0.0%,0.00,-1.000,-0.333,-1.000,0.118
pd_location,no_data,6,2,2,0,100.0%,Inf,3.006,1.002,-0.222,22.879
pd_location,above_VAH,24,6,5,1,83.3%,15.60,2.434,0.608,-0.388,31.054
vol_regime,normal,25,7,3,4,42.9%,2.85,1.057,0.296,-0.635,13.617
vol_regime,high,19,4,3,1,75.0%,6.78,1.444,0.304,-0.582,33.750
vol_regime,low,8,1,1,0,100.0%,Inf,3.443,0.430,0.000,4.377
time_bucket,early_630_730,10,1,1,0,100.0%,Inf,3.316,0.332,-0.088,9.985
time_bucket,mid_730_830,15,6,3,3,50.0%,1.95,0.475,0.190,-0.780,23.012
time_bucket,late_830_930,25,5,3,2,60.0%,6.22,2.090,0.418,-0.400,17.327
time_bucket,after_930,2,0,0,0,N/A,0,N/A,0.000,N/A,N/A
direction,long,31,6,5,1,83.3%,15.90,2.483,0.481,-0.303,15.383
direction,short,21,6,2,4,33.3%,1.43,0.287,0.082,-0.825,23.732
