category,segment,setups,trades,wins,losses,win_rate,profit_factor,expectancy_R,exp_per_setup,avg_MAE,avg_MFE
pd_location,inside_value,13,13,5,8,38.5%,1.56,0.346,0.346,-0.736,5.558
pd_location,below_VAL,9,9,4,5,44.4%,2.00,0.556,0.556,-0.596,3.829
pd_location,no_data,6,6,4,2,66.7%,5.00,1.333,1.333,-0.447,9.789
pd_location,above_VAH,24,24,16,8,66.7%,5.00,1.333,1.333,-0.457,8.977
vol_regime,normal,25,25,14,11,56.0%,3.18,0.960,0.960,-0.580,7.155
vol_regime,high,19,19,10,9,52.6%,2.78,0.842,0.842,-0.563,7.797
vol_regime,low,8,8,5,3,62.5%,4.17,1.188,1.188,-0.423,6.735
time_bucket,early_630_730,10,10,5,5,50.0%,2.50,0.750,0.750,-0.679,3.146
time_bucket,mid_730_830,15,15,10,5,66.7%,5.00,1.333,1.333,-0.440,8.830
time_bucket,late_830_930,25,25,14,11,56.0%,3.18,0.960,0.960,-0.527,8.625
time_bucket,after_930,2,2,0,2,0.0%,0.00,-1.000,-1.000,-1.000,0.676
direction,long,31,31,24,7,77.4%,8.57,1.710,1.710,-0.376,10.239
direction,short,21,21,5,16,23.8%,0.78,-0.167,-0.167,-0.805,3.023
