category,segment,setups,trades,wins,losses,win_rate,profit_factor,expectancy_R,exp_per_setup,avg_MAE,avg_MFE
pd_location,inside_value,12,12,5,7,41.7%,1.43,0.250,0.250,-0.714,5.916
pd_location,below_VAL,9,9,4,5,44.4%,1.60,0.333,0.333,-0.596,3.829
pd_location,no_data,6,6,4,2,66.7%,4.00,1.000,1.000,-0.447,9.789
pd_location,above_VAH,22,22,14,8,63.6%,3.50,0.909,0.909,-0.477,7.273
vol_regime,normal,25,25,15,10,60.0%,3.00,0.800,0.800,-0.540,7.659
vol_regime,high,16,16,7,9,43.8%,1.56,0.313,0.313,-0.640,4.983
vol_regime,low,8,8,5,3,62.5%,3.33,0.875,0.875,-0.423,6.622
time_bucket,early_630_730,10,10,5,5,50.0%,2.00,0.500,0.500,-0.679,3.146
time_bucket,mid_730_830,14,14,9,5,64.3%,3.60,0.929,0.929,-0.438,7.636
time_bucket,late_830_930,23,23,13,10,56.5%,2.60,0.696,0.696,-0.530,8.021
time_bucket,after_930,2,2,0,2,0.0%,0.00,-1.000,-1.000,-1.000,0.676
direction,long,29,29,22,7,75.9%,6.29,1.276,1.276,-0.386,9.033
direction,short,20,20,5,15,25.0%,0.67,-0.250,-0.250,-0.796,3.111
